Designator,Mid X,Mid Y,Rotation,Layer
C1,138.4,-100.11,90.0,top
C10,138.4,-102.11,90.0,top
C11,137.41,-115.66,270.0,top
C12,135.925,-99.925,90.0,top
C13,133.0,-84.4,180.0,top
C14,132.0,-78.75,0.0,top
C15,130.96,-115.48,270.0,top
C16,136.41,-116.26,270.0,top
C17,133.325,-97.81,180.0,top
C18,133.2375,-86.9625,270.0,top
C19,129.4,-92.2,270.0,top
C2,139.4,-99.11,90.0,top
C20,136.0,-90.2,0.0,top
C3,140.4,-100.11,90.0,top
C4,128.5,-108.0,90.0,top
C5,130.75,-103.71,180.0,top
C6,143.0,-109.0,0.0,top
C7,139.4,-101.11,90.0,top
C8,136.41,-114.26,270.0,top
C9,140.5,-104.0,90.0,top
D1,133.0,-93.5,270.0,top
D2,136.575,-92.625,90.0,top
J1,135.5,-72.49,180.0,top
J2,125.2,-95.5,0.0,top
J3,146.5,-95.5,0.0,top
J4,135.5,-119.39,90.0,top
J5,139.9,-85.8,90.0,top
R1,137.0,-79.0,270.0,top
R10,132.0,-87.0,270.0,top
R11,136.0,-89.2,180.0,top
R12,131.0,-87.0,270.0,top
R13,130.0,-88.0,90.0,top
R2,134.2,-79.0,270.0,top
R3,136.0,-102.1625,270.0,top
R4,137.4,-102.1625,270.0,top
R5,134.71,-113.21,0.0,top
R6,130.6,-97.6,0.0,top
R7,130.6,-96.4,0.0,top
R8,131.2375,-93.3625,270.0,top
R9,136.0375,-91.1625,180.0,top
SW1,140.0,-93.0,270.0,top
U1,135.5,-107.8,90.0,top
U2,133.0,-81.5,270.0,top
U3,132.25,-99.56,0.0,top
U4,132.4,-90.2,0.0,top
Y1,133.71,-115.46,180.0,top
